Messung Nr.;Realer Abstand (m);Sensor Wert (m);Abweichung (m)
1;10.0000;0.0000;10.0000
2;10.0000;0.2631;9.7369
3;10.0000;1.5112;8.4888
4;10.0000;0.9173;9.0827
5;10.0000;1.0655;8.9345
6;10.0000;0.4379;9.5621
7;10.0000;0.0941;9.9059
8;10.0000;1.3577;8.6423
9;10.0000;1.3586;8.6414
10;10.0000;1.8694;8.1306
11;10.0000;0.7670;9.2330
12;10.0000;1.0388;8.9612
13;10.0000;1.6619;8.3381
14;10.0000;0.0691;9.9309
15;10.0000;0.1069;9.8931
16;10.0000;1.0594;8.9406
17;10.0000;1.3423;8.6577
18;10.0000;0.0154;9.9846
19;10.0000;0.7668;9.2332
20;10.0000;0.1337;9.8663
