|Messung Nr.|Realer Abstand (m)|Sensor Wert (m)|Abweichung (m)    |
|-----------|------------------|---------------|------------------|
|1          |1.000000          |0.000016       |0.999984          |
|2          |1.000000          |0.263076       |0.736924          |
|3          |1.000000          |1.511211       |-0.511211         |
|4          |1.000000          |0.917300       |0.082700          |
|5          |1.000000          |1.065534       |-0.065534         |
|6          |1.000000          |0.437918       |0.562082          |
|7          |1.000000          |0.094089       |0.905911          |
|8          |1.000000          |1.357729       |-0.357729         |
|9          |1.000000          |1.358593       |-0.358593         |
|10         |1.000000          |1.869386       |-0.869386         |
|11         |1.000000          |0.767004       |0.232996          |
|12         |1.000000          |1.038833       |-0.038833         |
|13         |1.000000          |1.661931       |-0.661931         |
|14         |1.000000          |0.069144       |0.930856          |
|15         |1.000000          |0.106923       |0.893077          |
|16         |1.000000          |1.059400       |-0.059400         |
|17         |1.000000          |1.342299       |-0.342299         |
|18         |1.000000          |0.015396       |0.984604          |
|19         |1.000000          |0.766831       |0.233169          |
|20         |1.000000          |0.133684       |0.866316          |
|1          |1.000000          |0.834972       |0.165028          |
|2          |1.000000          |1.373545       |-0.373545         |
|3          |1.000000          |1.177953       |-0.177953         |
|4          |1.000000          |1.860873       |-0.860873         |
|5          |1.000000          |1.692334       |-0.692334         |
|6          |1.000000          |1.053858       |-0.053858         |
|7          |1.000000          |0.183930       |0.816070          |
|8          |1.000000          |1.307838       |-0.307838         |
|9          |1.000000          |0.831999       |0.168001          |
|10         |1.000000          |1.402381       |-0.402381         |
|11         |1.000000          |1.820642       |-0.820642         |
|12         |1.000000          |1.524396       |-0.524396         |
|13         |1.000000          |0.524906       |0.475094          |
|14         |1.000000          |0.094929       |0.905071          |
|15         |1.000000          |1.472164       |-0.472164         |
|16         |1.000000          |0.656468       |0.343532          |
|17         |1.000000          |1.265277       |-0.265277         |
|18         |1.000000          |1.512821       |-0.512821         |
|19         |1.000000          |1.982075       |-0.982075         |
|20         |1.000000          |0.730677       |0.269323          |
